央卫频道,#genre#

CCTV-1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1$全网通
CCTV-2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2$全网通
CCTV-3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3$全网通
CCTV-4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4$全网通
CCTV-5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5$全网通
CCTV-6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6$全网通
CCTV-7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7$全网通
CCTV-8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8$全网通
CCTV-9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9$全网通
CCTV-10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10$全网通
CCTV-11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11$全网通
CCTV-12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12$全网通
CCTV-13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13$全网通
CCTV-14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14$全网通
CCTV-15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15$全网通
CCTV-16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16$全网通
CCTV-17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17$全网通
CCTV-5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5+$全网通
北京卫视,http://123.133.163.32:9002/gd.php?id=北京卫视4K
安徽卫视,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视$全网通
北京卫视,http://qwt.zhibotv.top:2016/全网通.php?id=北京卫视$全网通
北京卫视,http://qwt.zhibotv.top:2016/全网通.php?id=北京卫视$全网通
东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视$全网通
东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视$全网通
东南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东南卫视$全网通
甘肃卫视,http://qwt.zhibotv.top:2016/全网通.php?id=甘肃卫视$全网通
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视$全网通
广西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广西卫视$全网通
贵州卫视,http://qwt.zhibotv.top:2016/全网通.php?id=贵州卫视$全网通
海南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=海南卫视$全网通
河北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河北卫视$全网通
河南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河南卫视$全网通
黑龙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=黑龙江卫视$全网通
湖北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖北卫视$全网通
湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视$全网通
吉林卫视,http://qwt.zhibotv.top:2016/全网通.php?id=吉林卫视$全网通
江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视$全网通
江西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江西卫视$全网通
辽宁卫视,http://qwt.zhibotv.top:2016/全网通.php?id=辽宁卫视$全网通
内蒙古卫视,http://qwt.zhibotv.top:2016/全网通.php?id=内蒙古卫视$全网通
宁夏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=宁夏卫视$全网通
青海卫视,http://qwt.zhibotv.top:2016/全网通.php?id=青海卫视$全网通
山东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视$全网通
山西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山西卫视$全网通
陕西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=陕西卫视$全网通
深圳卫视,http://qwt.zhibotv.top:2016/全网通.php?id=深圳卫视$全网通
四川卫视,http://qwt.zhibotv.top:2016/全网通.php?id=四川卫视$全网通
天津卫视,http://qwt.zhibotv.top:2016/全网通.php?id=天津卫视$全网通
浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视$全网通
重庆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=重庆卫视$全网通

CCTV-1,http://123.133.163.32:9002/gd.php?id=CCTV1
CCTV-2,http://123.133.163.32:9002/gd.php?id=CCTV2
CCTV-3,http://123.133.163.32:9002/gd.php?id=CCTV3
CCTV-4,http://123.133.163.32:9002/gd.php?id=CCTV4
CCTV-5,http://123.133.163.32:9002/gd.php?id=CCTV5
CCTV-6,http://123.133.163.32:9002/gd.php?id=CCTV6
CCTV-7,http://123.133.163.32:9002/gd.php?id=CCTV7
CCTV-8,http://123.133.163.32:9002/gd.php?id=CCTV8
CCTV-9,http://123.133.163.32:9002/gd.php?id=CCTV9
CCTV-10,http://123.133.163.32:9002/gd.php?id=CCTV10
CCTV-11,http://123.133.163.32:9002/gd.php?id=CCTV11
CCTV-12,http://123.133.163.32:9002/gd.php?id=CCTV12
CCTV-13,http://123.133.163.32:9002/gd.php?id=CCTV13
CCTV-14,http://123.133.163.32:9002/gd.php?id=CCTV14
CCTV-15,http://123.133.163.32:9002/gd.php?id=CCTV15
CCTV-16,http://123.133.163.32:9002/gd.php?id=CCTV16
CCTV-17,http://123.133.163.32:9002/gd.php?id=CCTV17
CCTV-5+,http://123.133.163.32:9002/gd.php?id=CCTV5+

安徽卫视,http://123.133.163.32:9002/gd.php?id=安徽卫视
北京卫视,http://123.133.163.32:9002/gd.php?id=北京卫视
东方卫视,http://123.133.163.32:9002/gd.php?id=东方卫视
