音乐欣赏,#genre#
安和桥-安西,https://vdse.bdstatic.com//509895890e5131ff5b39fd83b1f546a2.mp4
听闻远方有你,https://vdse.bdstatic.com//d60ce7970ede245fa4a7d9d0c2b38928.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-10-18T11%3A58%3A25Z%2F-1%2Fhost%2Ffb29615fe0259affb55c21bcdedc37eeb5e7aaf31ac5e982a983170d537e4746&vid=17284537032943980786
可能-程响,https://vd3.bdstatic.com/mda-pd369avvets19gch/sc/cae_h264/1680582897997490362/mda-pd369avvets19gch.mp4
真的爱着你,https://vdse.bdstatic.com/h265/bdb8afb3ee359f593831b68157066efb26.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=19&logid=10774307531080172085&vt=-1&svt=-1&cr_max=1&s_score=-1.000000&pt=0&av=17.8&vid=16140911267690384401&mvt=-1&did=b9e4f3d31e216db4f308eb63eb2e3475&cr=1&h265_s=1&sl=233&sle=1&split=544520
大风吹–王赫野、刘惜君,https://vdse.bdstatic.com//5b9e4be553e5ea191c4d43ee599598dc.mp4
笑红尘,http://em.21dtv.com/songs/60078739.mkv
人间烟火-程响,https://vd3.bdstatic.com/mda-nia9gqywiryyn8pk/576p/h264/1662878654763005591/mda-nia9gqywiryyn8pk.mp4
化风行万里,https://vdse.bdstatic.com/h265w2/wzab77d46f6a582cbdc06593882853534d.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=19&logid=10390092499894835995&vt=-1&svt=-1&cr_max=2&s_score=-1.000000&pt=0&av=17.8&vid=15107691385944962233&mvt=-1&did=b9e4f3d31e216db4f308eb63eb2e3475&cr=2&h265_s=1&sl=122&sle=1&split=347403
不如见一面-海来阿木,https://vd4.bdstatic.com/mda-pk8i94s59fhrp8vz/hd/cae_h264/1699750729441701256/mda-pk8i94s59fhrp8vz.mp4
最远的你是我最近的爱,http://em.21dtv.com/songs/60084655.mkv
浙江频道,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
央视频道,#genre#
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1
CCTV2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2
CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p
CCTV6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6
CCTV7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7
CCTV8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8
CCTV9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9
CCTV10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10
CCTV11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11
CCTV12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12
CCTV13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13
CCTV14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14
CCTV15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15
CCTV16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16
CCTV17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17

CCTV1,http://ygbh.site/php/bfgd.php?id=201
CCTV1,http://ygbh.site/php/bfgd.php?id=484
CCTV1,http://ygbh.site/php/bfgd.php?id=488
CCTV1,http://ygbh.site/php/bfgd.php?id=489
CCTV2,http://ygbh.site/php/bfgd.php?id=061
CCTV3,http://ygbh.site/php/bfgd.php?id=062
CCTV4,http://ygbh.site/php/bfgd.php?id=063
CCTV5,http://ygbh.site/php/bfgd.php?id=064
CCTV5+,http://ygbh.site/php/bfgd.php?id=246
CCTV6,http://ygbh.site/php/bfgd.php?id=065
CCTV7,http://ygbh.site/php/bfgd.php?id=127
CCTV8,http://ygbh.site/php/bfgd.php?id=066
CCTV9,http://ygbh.site/php/bfgd.php?id=128
CCTV10,http://ygbh.site/php/bfgd.php?id=129
CCTV11,http://ygbh.site/php/bfgd.php?id=130
CCTV12,http://ygbh.site/php/bfgd.php?id=131
CCTV13,http://ygbh.site/php/bfgd.php?id=067
CCTV14,http://ygbh.site/php/bfgd.php?id=132
CCTV15,http://ygbh.site/php/bfgd.php?id=133
CCTV17,http://ygbh.site/php/bfgd.php?id=204

CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV16,http://goo.bkpcp.top/mg/cctv16
CCTV17,http://goo.bkpcp.top/mg/cctv17

CCTV1,https://migu.777189.xyz/?migutoken=4c043b8c40d7d01daeeb75a686ccf3be&id=CCTV1&pp=1
CCTV2,https://migu.777189.xyz/?migutoken=13b36ef4f026cb7e03538521027c1391&id=CCTV2&pp=1
CCTV3,https://migu.777189.xyz/?migutoken=f75050c888c08fdea5498f741f127333&id=CCTV3&pp=1
CCTV4,https://migu.777189.xyz/?migutoken=5ff67aff87599f6e0a438648446f975e&id=CCTV4&pp=1
CCTV5,https://migu.777189.xyz/?migutoken=9bd8aa6917deafe72a47313a120531a8&id=CCTV5&pp=1
CCTV5+,https://migu.777189.xyz/?migutoken=07bbe9c9d208296e2734c0b337772c2c&id=CCTV5p&pp=1
CCTV6,https://migu.777189.xyz/?migutoken=0e1862c16f8a143dfa9786464ba2c3c4&id=CCTV6&pp=1
CCTV7,https://migu.777189.xyz/?migutoken=4b8918dd87071bf0c9c48209735b05af&id=CCTV7&pp=1
CCTV8,https://migu.777189.xyz/?migutoken=7c8df92241e03e13214b0faec5887aaa&id=CCTV8&pp=1
CCTV9,https://migu.777189.xyz/?migutoken=337b320585d22bfc9631d68663a29e33&id=CCTV9&pp=1
CCTV10,https://migu.777189.xyz/?migutoken=ad17d56490fe449ef5a5d3c897fc7cd9&id=CCTV10&pp=1
