CR3Da_9527,#genre#
CR3D_1,https://m1.m3u8111222333.com/G0127/bdsq/bdsq.m3u8
CR3D_2,https://m1.m3u8111222333.com/G0127/bjcc/bjcc.m3u8
CR3D_3,https://m1.m3u8111222333.com/G0130/read/read.m3u8
CR3D_4,https://m1.m3u8111222333.com/G0130/sxyz/sxyz.m3u8
CR3D_5,https://m1.m3u8111222333.com/G0131/qqxn/qqxn.m3u8
CR3D_6,https://m1.m3u8111222333.com/G0131/ssis/ssis.m3u8
CR3D_7,https://m1.m3u8111222333.com/G0202/dpwl/dpwl.m3u8
CR3D_8,https://m1.m3u8111222333.com/G0204/dmr2/dmr2.m3u8
CR3D_9,https://m1.m3u8111222333.com/G0205/srww/srww.m3u8
CR3D_10,https://m1.m3u8111222333.com/G0207/f7ct/f7ct.m3u8
CR3D_11,https://m1.m3u8111222333.com/G0208/mrt/mrt.m3u8
CR3D_12,https://m1.m3u8111222333.com/G0210/gdyq/gdyq.m3u8
CR3D_13,https://m1.m3u8111222333.com/G0210/hisc/hisc.m3u8
CR3D_14,https://m1.m3u8111222333.com/G0212/dm25/dm25.m3u8
CR3D_15,https://m1.m3u8111222333.com/G0214/bfmt/bfmt.m3u8
CR3D_16,https://m1.m3u8111222333.com/G0214/oace/oace.m3u8
CR3D_17,https://m1.m3u8111222333.com/G0216/ccse/ccse.m3u8
CR3D_18,https://m1.m3u8111222333.com/G0218/mgce/mgce.m3u8
CR3D_19,https://m1.m3u8111222333.com/G0220/kiki/kiki.m3u8
CR3D_20,https://m1.m3u8111222333.com/G0220/yryr/yryr.m3u8
CR3D_21,https://m1.m3u8111222333.com/G0222/nbm/nbm.m3u8
CR3D_22,https://m1.m3u8111222333.com/G0223/dml5/dml5.m3u8
CR3D_23,https://m1.m3u8111222333.com/G0224/otfe/otfe.m3u8
CR3D_24,https://m1.m3u8111222333.com/G0226/ttco/ttco.m3u8
CR3D_25,https://m1.m3u8111222333.com/G0227/dsba/dsba.m3u8
CR3D_26,https://m1.m3u8111222333.com/G0228/ani1/ani1.m3u8
CR3D_27,https://m1.m3u8111222333.com/G0228/hhbh/hhbh.m3u8
CR3D_28,https://m1.m3u8111222333.com/G0301/xgmn/xgmn.m3u8
CR3D_29,https://m1.m3u8111222333.com/G0302/20ba/20ba.m3u8
CR3D_30,https://m1.m3u8111222333.com/G0304/dml5/dml5.m3u8
CR3D_31,https://m1.m3u8111222333.com/G0306/yqv6/yqv6.m3u8
CR3D_32,https://m1.m3u8111222333.com/G0307/bxgz/bxgz.m3u8
CR3D_33,https://m1.m3u8111222333.com/G0307/cqyw/cqyw.m3u8
CR3D_34,https://m1.m3u8111222333.com/G0307/dmr1/dmr1.m3u8
CR3D_35,https://m1.m3u8111222333.com/G0307/yqkh/yqkh.m3u8
CR3D_36,https://m1.m3u8111222333.com/G0310/dm26/dm26.m3u8
CR3D_37,https://m1.m3u8111222333.com/G0311/dbhk/dbhk.m3u8
CR3D_38,https://m1.m3u8111222333.com/G0313/ksnm/ksnm.m3u8
CR3D_39,https://m1.m3u8111222333.com/G0316/rsnm/rsnm.m3u8
CR3D_40,https://m1.m3u8111222333.com/G0318/omc/omc.m3u8
CR3D_41,https://m1.m3u8111222333.com/G0320/3dgg/3dgg.m3u8
CR3D_42,https://m1.m3u8111222333.com/G0322/psgc/psgc.m3u8
CR3D_43,https://m1.m3u8111222333.com/G0322/tbjn/tbjn.m3u8
CR3D_44,https://m1.m3u8111222333.com/G0324/aira/aira.m3u8
CR3D_45,https://m1.m3u8111222333.com/G0326/bgb/bgb.m3u8
CR3D_46,https://m1.m3u8111222333.com/G0328/dpit/dpit.m3u8
CR3D_47,https://m1.m3u8111222333.com/G0328/wmsy/wmsy.m3u8
CR3D_48,https://m1.m3u8111222333.com/G0329/yscz/yscz.m3u8
CR3D_49,https://m1.m3u8111222333.com/G0330/hmfc/hmfc.m3u8
