🛰️电影,#genre#
喜剧电影,http://159.75.85.63:35455/huya/11352877
喜剧专场,http://120.77.28.4:8648/huya.php?id=11602044
译制影片,http://120.77.28.4:8648/douyu.php?id=2436390
女神系列,http://120.77.28.4:8648/huya.php?id=11336571
奶虫影院,http://120.77.28.4:8648/douyu.php?id=263824
刘华强集,http://120.77.28.4:8648/douyu.php?id=2726977
童年影院,http://120.77.28.4:8648/douyu.php?id=2935323
喜剧影院,http://120.77.28.4:8648/douyu.php?id=323876
邵氏影院,http://120.77.28.4:8648/douyu.php?id=4246519
怡寶影视,http://120.77.28.4:8648/douyu.php?id=434971
人气港剧,http://120.77.28.4:8648/douyu.php?id=5261342
蚂蚱影院,http://120.77.28.4:8648/douyu.php?id=6079455
圆子影院,http://120.77.28.4:8648/douyu.php?id=6566658
粤语影院,http://120.77.28.4:8648/douyu.php?id=6566671
芊珏影视,http://120.77.28.4:8648/douyu.php?id=8814650
万合出品,http://120.77.28.4:8648/douyu.php?id=9220456
玄幻电影,http://159.75.85.63:35455/huya/11342414
国产僵尸,http://159.75.85.63:35455/huya/11279247
全职高手,http://120.77.28.4:8648/huya.php?id=11352901
嫣然影厅,http://120.77.28.4:8648/huya.php?id=11601977
蘑菇影厅,http://120.77.28.4:8648/huya.php?id=11601981
死神来了,http://159.75.85.63:35455/huya/11352903
死神来了,http://120.77.28.4:8648/huya.php?id=11352903
周星驰,http://120.77.28.4:8648/huya.php?id=11336587
李连杰,http://120.77.28.4:8648/huya.php?id=11342390
刘德华,http://120.77.28.4:8648/huya.php?id=11342424
甄子丹,http://120.77.28.4:8648/huya.php?id=11352935
许冠英,http://120.77.28.4:8648/huya.php?id=11601972
沈腾,http://120.77.28.4:8648/yy.php?id=1354936191
周润发,http://120.77.28.4:8648/yy.php?id=1354930961
洪金宝,http://159.75.85.63:35455/huya/11279251
周润发,http://159.75.85.63:35455/huya/11342387
李连杰,http://159.75.85.63:35455/huya/11342390
林正英,http://159.75.85.63:35455/huya/11342421
刘德华,http://159.75.85.63:35455/huya/11342424
梁家辉,http://159.75.85.63:35455/huya/11342429
刘德华,http://120.77.28.4:8648/yy.php?id=1382745111
林正英,http://120.77.28.4:8648/yy.php?id=1382841203
林正英,http://120.77.28.4:8648/yy.php?id=1453996620
李连杰,http://120.77.28.4:8648/yy.php?id=74613175
许冠英,http://159.75.85.63:35455/huya/11601972
甄子丹,http://cfss.cc/cdn/hy/11352935.flv
周星驰1,http://159.75.85.63:35455/huya/11342412
周星驰2,http://120.77.28.4:8648/yy.php?id=1354658049
周星星3,http://11.xmyxc.cn/api/php/yy.php?id=1354658049
周星驰4,http://huanqiuzhibo.cn/manifest/douyu.php?id=122402
周星驰5,http://cfss.cc/cdn/hy/11336587.flv
电影_赛车,http://120.77.28.4:8648/huya.php?id=11279247
电影_洪金宝,http://120.77.28.4:8648/huya.php?id=11279251
电影_古装片,http://120.77.28.4:8648/huya.php?id=11336590
电影_黑帮片,http://120.77.28.4:8648/huya.php?id=11336719
电影_发哥,http://120.77.28.4:8648/huya.php?id=11342387
电影_国产悬疑,http://120.77.28.4:8648/huya.php?id=11342395
电影_搞笑喜剧,http://120.77.28.4:8648/huya.php?id=11342423
电影_宇宙,http://120.77.28.4:8648/huya.php?id=11342428
电影_梁家辉,http://120.77.28.4:8648/huya.php?id=11342429
电影_快意江湖,http://120.77.28.4:8648/huya.php?id=11342435
电影_警匪,http://120.77.28.4:8648/huya.php?id=11352886
电影_欢笑影院,http://120.77.28.4:8648/huya.php?id=11352894
电影_热血,http://120.77.28.4:8648/huya.php?id=11352934
电影_古墓系列,http://120.77.28.4:8648/huya.php?id=11352913
电影_功夫片,http://120.77.28.4:8648/huya.php?id=11352941
电影_贺岁片,http://120.77.28.4:8648/huya.php?id=11601986
电影_漫威,http://120.77.28.4:8648/huya.php?id=11602034
电影_灾难片,http://120.77.28.4:8648/huya.php?id=11602075
电影_动作电影,http://120.77.28.4:8648/huya.php?id=11602077
电影_怪兽系列,http://120.77.28.4:8648/huya.php?id=21059554
电影_战争片,http://120.77.28.4:8648/huya.php?id=21059574
电影_丧尸片,http://120.77.28.4:8648/huya.php?id=21059578
电影_喜乐影院,http://120.77.28.4:8648/huya.php?id=21059580
电影_谍战,http://120.77.28.4:8648/huya.php?id=21059585
电影_谍战片,http://120.77.28.4:8648/huya.php?id=21059587
电影_斯坦森,http://120.77.28.4:8648/huya.php?id=21059588
电影_战争,http://120.77.28.4:8648/huya.php?id=21059592
电影_救援,http://120.77.28.4:8648/huya.php?id=21059594
电影_海盗,http://120.77.28.4:8648/huya.php?id=21059595
电影_古装2,http://120.77.28.4:8648/huya.php?id=21059596
电影_古装3,http://120.77.28.4:8648/huya.php?id=21059599
电影_八点档,http://120.77.28.4:8648/huya.php?id=880261
粤语电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=1226741
奶虫影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=263824
童年阴影,http://huanqiuzhibo.cn/manifest/douyu.php?id=2935323
喜剧电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=323876
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
怡寶影视,http://huanqiuzhibo.cn/manifest/douyu.php?id=434971
蚂蚱影视,http://huanqiuzhibo.cn/manifest/douyu.php?id=6079455
圆子影视,http://huanqiuzhibo.cn/manifest/douyu.php?id=6566658
粤语电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=6566671
篮球人物,http://huanqiuzhibo.cn/manifest/douyu.php?id=8434598
芊珏影视,http://huanqiuzhibo.cn/manifest/douyu.php?id=8814650
万合出品,http://huanqiuzhibo.cn/manifest/douyu.php?id=9220456
长片短解,http://huanqiuzhibo.cn/manifest/douyu.php?id=9410946
拳叔二次元,http://huanqiuzhibo.cn/manifest/douyu.php?id=9484105
香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850
皮皮看动漫,http://huanqiuzhibo.cn/manifest/douyu.php?id=9837291
你是我的荣耀,http://120.77.28.4:8648/huya.php?id=11352920
许氏三杰,http://120.77.28.4:8648/huya.php?id=11602033
铁齿铜牙纪晓岚,http://120.77.28.4:8648/yy.php?id=1354143978
🔁古惑仔,http://120.77.28.4:8648/yy.php?id=1354507447
🔁战狼2,http://120.77.28.4:8648/yy.php?id=1354784284
正阳门下,http://120.77.28.4:8648/yy.php?id=1354931580
短剧轮播,http://120.77.28.4:8648/yy.php?id=1382881708
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
美亞電影臺,http://149.28.150.229:29191/stream/mytv/mydy/master.m3u8
许氏三杰,http://159.75.85.63:35455/huya/11602033
使徒行者,http://159.75.85.63:35455/huya/23734256
陀枪师姐,http://159.75.85.63:35455/huya/23860039
寻秦记,http://159.75.85.63:35455/huya/23864973
峨眉电影,http://218.89.240.144:59901/tsfile/live/1011_1.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
龙华电影,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
靖天电影,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
Toonth电影,http://api.toonamiaftermath.com:3000/movies/playlist.m3u8
科幻Fans轮播,http://cfss.cc/cdn/dyu/3508304.m3u8
邵氏影院频视,http://cfss.cc/cdn/dyu/4246519.m3u8
娱乐扒叔轮播,http://cfss.cc/cdn/dyu/9624581.m3u8
开端电视轮播,http://cfss.cc/cdn/hy/11342397.m3u8
科幻梦工场播,http://cfss.cc/cdn/hy/15152155.m3u8
脱口秀大会肆,http://cfss.cc/cdn/hy/30080243.m3u8
吐槽大会五季,http://cfss.cc/cdn/yy/1354889009.m3u8
第一滴血全集,http://cfss.cc/cdn/yy/1354932355.m3u8
吐槽大会海天,http://cfss.cc/cdn/yy/1354932379.m3u8
吐槽大会二季,http://cfss.cc/cdn/yy/1354936145.m3u8
吐槽大会京都,http://cfss.cc/cdn/yy/1354936210.m3u8
笑傲帮集轮播,http://cfss.cc/cdn/yy/1382735555.m3u8
敢死队全轮播,http://cfss.cc/cdn/yy/1382735573.m3u8
如果岁月轮播,http://cfss.cc/cdn/yy/1382736883.m3u8
速度与激情集,http://cfss.cc/cdn/yy/1382736911.m3u8
流金岁月轮播,http://cfss.cc/cdn/yy/1382749906.m3u8
古惑仔国轮播,http://cfss.cc/cdn/yy/1458015189.m3u8
电影_经典港片,http://iptv.com.gerss.cn/huya/11352965
电影_搞笑恐怖,http://iptv.com.gerss.cn/huya/11601960
电影_喜乐影院,http://iptv.com.gerss.cn/huya/21059580
人在囧途,http://jsmov2.a.yximgs.com/bs3/video-hls/5239093847755471351_hlsb.m3u8
华子系列,http://live.nctv.top/6688/yy.php?id=1354888726$LR•IPV4
末日系列-外国电影合集,http://live.nctv.top/6688/yy.php?id=1354889019$LR•IPV4
洪金宝福星系列,http://live.nctv.top/6688/yy.php?id=1354924839$LR•IPV4
金装四大才子,http://live.nctv.top/6688/yy.php?id=1354926600$LR•IPV4
岳云鹏宋小宝也来演电影了?,http://live.nctv.top/6688/yy.php?id=1354926612$LR•IPV4
国内科幻片来袭,http://live.nctv.top/6688/yy.php?id=1354930821$LR•IPV4
熊出没之探险日记S1-国漫,http://live.nctv.top/6688/yy.php?id=1354930977$LR•IPV4
热门喜剧,http://live.nctv.top/6688/yy.php?id=1354931495$LR•IPV4
正阳门下,http://live.nctv.top/6688/yy.php?id=1354931580
名媛望族-精彩港剧,http://live.nctv.top/6688/yy.php?id=1354932431$LR•IPV4
林正英①,http://live.nctv.top/6688/yy.php?id=1354932444$LR•IPV4
小戏骨黄飞鸿,http://live.nctv.top/6688/yy.php?id=1354936181$LR•IPV4
珍珠港-电影,http://live.nctv.top/6688/yy.php?id=1354936234$LR•IPV4
